municipio,tipo de crimen,año,trimestre,num_trimestre,valor,tipo_dato,modelo,nivel_confianza
Alcalá de Henares,Homicidios dolosos y asesinatos consumados,2024,Q3,3,0.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos consumados,2024,Q4,4,1.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos consumados,2025,Q1,1,1.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos consumados,2025,Q2,2,0.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos consumados,2025,Q3,3,0.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos consumados,2025,Q4,4,0.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos en grado tentativa,2023,Q1,1,2.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos en grado tentativa,2023,Q2,2,1.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos en grado tentativa,2023,Q3,3,3.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos en grado tentativa,2023,Q4,4,1.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos en grado tentativa,2024,Q1,1,7.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos en grado tentativa,2024,Q2,2,0.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos en grado tentativa,2024,Q3,3,5.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos en grado tentativa,2024,Q4,4,1.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos en grado tentativa,2025,Q1,1,3.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos en grado tentativa,2025,Q2,2,2.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos en grado tentativa,2025,Q3,3,1.0,Real,Dato observado,Real
Alcalá de Henares,Homicidios dolosos y asesinatos en grado tentativa,2025,Q4,4,2.0,Real,Dato observado,Real
Alcalá de Henares,Hurtos,2023,Q1,1,693.0,Real,Dato observado,Real
Alcalá de Henares,Hurtos,2023,Q2,2,553.0,Real,Dato observado,Real
Alcalá de Henares,Hurtos,2023,Q3,3,471.0,Real,Dato observado,Real
Alcalá de Henares,Hurtos,2023,Q4,4,630.0,Real,Dato observado,Real
Alcalá de Henares,Hurtos,2024,Q1,1,547.0,Real,Dato observado,Real
Alcalá de Henares,Hurtos,2024,Q2,2,548.0,Real,Dato observado,Real
Alcalá de Henares,Hurtos,2024,Q3,3,505.0,Real,Dato observado,Real
Alcalá de Henares,Hurtos,2024,Q4,4,609.0,Real,Dato observado,Real
Alcalá de Henares,Hurtos,2025,Q1,1,521.0,Real,Dato observado,Real
Alcalá de Henares,Hurtos,2025,Q2,2,570.0,Real,Dato observado,Real
Alcalá de Henares,Hurtos,2025,Q3,3,507.0,Real,Dato observado,Real
Alcalá de Henares,Hurtos,2025,Q4,4,659.0,Real,Dato observado,Real
Alcalá de Henares,Otros ciberdelitos,2023,Q1,1,71.0,Real,Dato observado,Real
Alcalá de Henares,Otros ciberdelitos,2023,Q2,2,59.0,Real,Dato observado,Real
Alcalá de Henares,Otros ciberdelitos,2023,Q3,3,113.0,Real,Dato observado,Real
Alcalá de Henares,Otros ciberdelitos,2023,Q4,4,94.0,Real,Dato observado,Real
Alcalá de Henares,Otros ciberdelitos,2024,Q1,1,75.0,Real,Dato observado,Real
Alcalá de Henares,Otros ciberdelitos,2024,Q2,2,86.0,Real,Dato observado,Real
Alcalá de Henares,Otros ciberdelitos,2024,Q3,3,62.0,Real,Dato observado,Real
Alcalá de Henares,Otros ciberdelitos,2024,Q4,4,73.0,Real,Dato observado,Real
Alcalá de Henares,Otros ciberdelitos,2025,Q1,1,112.0,Real,Dato observado,Real
Alcalá de Henares,Otros ciberdelitos,2025,Q2,2,109.0,Real,Dato observado,Real
Alcalá de Henares,Otros ciberdelitos,2025,Q3,3,78.0,Real,Dato observado,Real
Alcalá de Henares,Otros ciberdelitos,2025,Q4,4,84.0,Real,Dato observado,Real
Alcalá de Henares,Resto de criminalidad convencional,2023,Q1,1,989.0,Real,Dato observado,Real
Alcalá de Henares,Resto de criminalidad convencional,2023,Q2,2,959.0,Real,Dato observado,Real
Alcalá de Henares,Resto de criminalidad convencional,2023,Q3,3,958.0,Real,Dato observado,Real
Alcalá de Henares,Resto de criminalidad convencional,2023,Q4,4,1105.0,Real,Dato observado,Real
Alcalá de Henares,Resto de criminalidad convencional,2024,Q1,1,1066.0,Real,Dato observado,Real
Alcalá de Henares,Resto de criminalidad convencional,2024,Q2,2,1086.0,Real,Dato observado,Real
Alcalá de Henares,Resto de criminalidad convencional,2024,Q3,3,1107.0,Real,Dato observado,Real
Alcalá de Henares,Resto de criminalidad convencional,2024,Q4,4,1096.0,Real,Dato observado,Real
Alcalá de Henares,Resto de criminalidad convencional,2025,Q1,1,1088.0,Real,Dato observado,Real
Alcalá de Henares,Resto de criminalidad convencional,2025,Q2,2,1046.0,Real,Dato observado,Real
Alcalá de Henares,Resto de criminalidad convencional,2025,Q3,3,1177.0,Real,Dato observado,Real
Alcalá de Henares,Resto de criminalidad convencional,2025,Q4,4,1151.0,Real,Dato observado,Real
Alcalá de Henares,Resto de delitos contra la libertad sexual,2023,Q1,1,12.0,Real,Dato observado,Real
Alcalá de Henares,Resto de delitos contra la libertad sexual,2023,Q2,2,10.0,Real,Dato observado,Real
Alcalá de Henares,Resto de delitos contra la libertad sexual,2023,Q3,3,12.0,Real,Dato observado,Real
Alcalá de Henares,Resto de delitos contra la libertad sexual,2023,Q4,4,19.0,Real,Dato observado,Real
Alcalá de Henares,Resto de delitos contra la libertad sexual,2024,Q1,1,12.0,Real,Dato observado,Real
Alcalá de Henares,Resto de delitos contra la libertad sexual,2024,Q2,2,8.0,Real,Dato observado,Real
Alcalá de Henares,Resto de delitos contra la libertad sexual,2024,Q3,3,19.0,Real,Dato observado,Real
Alcalá de Henares,Resto de delitos contra la libertad sexual,2024,Q4,4,16.0,Real,Dato observado,Real
Alcalá de Henares,Resto de delitos contra la libertad sexual,2025,Q1,1,13.0,Real,Dato observado,Real
Alcalá de Henares,Resto de delitos contra la libertad sexual,2025,Q2,2,27.0,Real,Dato observado,Real
Alcalá de Henares,Resto de delitos contra la libertad sexual,2025,Q3,3,14.0,Real,Dato observado,Real
Alcalá de Henares,Resto de delitos contra la libertad sexual,2025,Q4,4,20.0,Real,Dato observado,Real
Alcalá de Henares,Robos con fuerza en domicilios,2023,Q1,1,49.0,Real,Dato observado,Real
Alcalá de Henares,Robos con fuerza en domicilios,2023,Q2,2,26.0,Real,Dato observado,Real
Alcalá de Henares,Robos con fuerza en domicilios,2023,Q3,3,39.0,Real,Dato observado,Real
Alcalá de Henares,Robos con fuerza en domicilios,2023,Q4,4,22.0,Real,Dato observado,Real
Alcalá de Henares,Robos con fuerza en domicilios,2024,Q1,1,31.0,Real,Dato observado,Real
Alcalá de Henares,Robos con fuerza en domicilios,2024,Q2,2,61.0,Real,Dato observado,Real
Alcalá de Henares,Robos con fuerza en domicilios,2024,Q3,3,60.0,Real,Dato observado,Real
Alcalá de Henares,Robos con fuerza en domicilios,2024,Q4,4,47.0,Real,Dato observado,Real
Alcalá de Henares,Robos con fuerza en domicilios,2025,Q1,1,44.0,Real,Dato observado,Real
Alcalá de Henares,Robos con fuerza en domicilios,2025,Q2,2,31.0,Real,Dato observado,Real
Alcalá de Henares,Robos con fuerza en domicilios,2025,Q3,3,67.0,Real,Dato observado,Real
Alcalá de Henares,Robos con fuerza en domicilios,2025,Q4,4,47.0,Real,Dato observado,Real
Alcalá de Henares,"Robos con fuerza en domicilios, establecimientos y otras instalaciones",2023,Q1,1,80.0,Real,Dato observado,Real
Alcalá de Henares,"Robos con fuerza en domicilios, establecimientos y otras instalaciones",2023,Q2,2,64.0,Real,Dato observado,Real
Alcalá de Henares,"Robos con fuerza en domicilios, establecimientos y otras instalaciones",2023,Q3,3,56.0,Real,Dato observado,Real
Alcalá de Henares,"Robos con fuerza en domicilios, establecimientos y otras instalaciones",2023,Q4,4,65.0,Real,Dato observado,Real
Alcalá de Henares,"Robos con fuerza en domicilios, establecimientos y otras instalaciones",2024,Q1,1,61.0,Real,Dato observado,Real
Alcalá de Henares,"Robos con fuerza en domicilios, establecimientos y otras instalaciones",2024,Q2,2,92.0,Real,Dato observado,Real
Alcalá de Henares,"Robos con fuerza en domicilios, establecimientos y otras instalaciones",2024,Q3,3,95.0,Real,Dato observado,Real
Alcalá de Henares,"Robos con fuerza en domicilios, establecimientos y otras instalaciones",2024,Q4,4,66.0,Real,Dato observado,Real
Alcalá de Henares,"Robos con fuerza en domicilios, establecimientos y otras instalaciones",2025,Q1,1,84.0,Real,Dato observado,Real
Alcalá de Henares,"Robos con fuerza en domicilios, establecimientos y otras instalaciones",2025,Q2,2,67.0,Real,Dato observado,Real
Alcalá de Henares,"Robos con fuerza en domicilios, establecimientos y otras instalaciones",2025,Q3,3,98.0,Real,Dato observado,Real
Alcalá de Henares,"Robos con fuerza en domicilios, establecimientos y otras instalaciones",2025,Q4,4,81.0,Real,Dato observado,Real
Alcalá de Henares,Robos con violencia e intimidación,2023,Q1,1,48.0,Real,Dato observado,Real
Alcalá de Henares,Robos con violencia e intimidación,2023,Q2,2,43.0,Real,Dato observado,Real
Alcalá de Henares,Robos con violencia e intimidación,2023,Q3,3,50.0,Real,Dato observado,Real
Alcalá de Henares,Robos con violencia e intimidación,2023,Q4,4,49.0,Real,Dato observado,Real
Alcalá de Henares,Robos con violencia e intimidación,2024,Q1,1,67.0,Real,Dato observado,Real
Alcalá de Henares,Robos con violencia e intimidación,2024,Q2,2,53.0,Real,Dato observado,Real
Alcalá de Henares,Robos con violencia e intimidación,2024,Q3,3,51.0,Real,Dato observado,Real
Alcalá de Henares,Robos con violencia e intimidación,2024,Q4,4,46.0,Real,Dato observado,Real
Alcalá de Henares,Robos con violencia e intimidación,2025,Q1,1,32.0,Real,Dato observado,Real
Alcalá de Henares,Robos con violencia e intimidación,2025,Q2,2,37.0,Real,Dato observado,Real
Alcalá de Henares,Robos con violencia e intimidación,2025,Q3,3,40.0,Real,Dato observado,Real
Alcalá de Henares,Robos con violencia e intimidación,2025,Q4,4,28.0,Real,Dato observado,Real
Alcalá de Henares,Secuestro,2023,Q1,1,0.0,Real,Dato observado,Real
Alcalá de Henares,Secuestro,2023,Q2,2,0.0,Real,Dato observado,Real
Alcalá de Henares,Secuestro,2023,Q3,3,0.0,Real,Dato observado,Real
Alcalá de Henares,Secuestro,2023,Q4,4,0.0,Real,Dato observado,Real
Alcalá de Henares,Secuestro,2024,Q1,1,0.0,Real,Dato observado,Real
Alcalá de Henares,Secuestro,2024,Q2,2,0.0,Real,Dato observado,Real
Alcalá de Henares,Secuestro,2024,Q3,3,0.0,Real,Dato observado,Real
Alcalá de Henares,Secuestro,2024,Q4,4,0.0,Real,Dato observado,Real
Alcalá de Henares,Secuestro,2025,Q1,1,1.0,Real,Dato observado,Real
Alcalá de Henares,Secuestro,2025,Q2,2,0.0,Real,Dato observado,Real
Alcalá de Henares,Secuestro,2025,Q3,3,0.0,Real,Dato observado,Real
Alcalá de Henares,Secuestro,2025,Q4,4,0.0,Real,Dato observado,Real
Alcalá de Henares,Sustracciones de vehículos,2023,Q1,1,69.0,Real,Dato observado,Real
Alcalá de Henares,Sustracciones de vehículos,2023,Q2,2,58.0,Real,Dato observado,Real
Alcalá de Henares,Sustracciones de vehículos,2023,Q3,3,50.0,Real,Dato observado,Real
Alcalá de Henares,Sustracciones de vehículos,2023,Q4,4,68.0,Real,Dato observado,Real
Alcalá de Henares,Sustracciones de vehículos,2024,Q1,1,50.0,Real,Dato observado,Real
Alcalá de Henares,Sustracciones de vehículos,2024,Q2,2,65.0,Real,Dato observado,Real
Alcalá de Henares,Sustracciones de vehículos,2024,Q3,3,50.0,Real,Dato observado,Real
Alcalá de Henares,Sustracciones de vehículos,2024,Q4,4,59.0,Real,Dato observado,Real
Alcalá de Henares,Sustracciones de vehículos,2025,Q1,1,63.0,Real,Dato observado,Real
Alcalá de Henares,Sustracciones de vehículos,2025,Q2,2,75.0,Real,Dato observado,Real
Alcalá de Henares,Sustracciones de vehículos,2025,Q3,3,62.0,Real,Dato observado,Real
Alcalá de Henares,Sustracciones de vehículos,2025,Q4,4,79.0,Real,Dato observado,Real
Alcalá de Henares,Tráfico de drogas,2023,Q1,1,19.0,Real,Dato observado,Real
Alcalá de Henares,Tráfico de drogas,2023,Q2,2,15.0,Real,Dato observado,Real
Alcalá de Henares,Tráfico de drogas,2023,Q3,3,15.0,Real,Dato observado,Real
Alcalá de Henares,Tráfico de drogas,2023,Q4,4,15.0,Real,Dato observado,Real
Alcalá de Henares,Tráfico de drogas,2024,Q1,1,20.0,Real,Dato observado,Real
Alcalá de Henares,Tráfico de drogas,2024,Q2,2,28.0,Real,Dato observado,Real
Alcalá de Henares,Tráfico de drogas,2024,Q3,3,13.0,Real,Dato observado,Real
Alcalá de Henares,Tráfico de drogas,2024,Q4,4,25.0,Real,Dato observado,Real
Alcalá de Henares,Tráfico de drogas,2025,Q1,1,20.0,Real,Dato observado,Real
Alcalá de Henares,Tráfico de drogas,2025,Q2,2,14.0,Real,Dato observado,Real
Alcalá de Henares,Tráfico de drogas,2025,Q3,3,14.0,Real,Dato observado,Real
Alcalá de Henares,Tráfico de drogas,2025,Q4,4,10.0,Real,Dato observado,Real
Alcobendas,Agresión sexual con penetración,2023,Q1,1,1.0,Real,Dato observado,Real
Alcobendas,Agresión sexual con penetración,2023,Q2,2,3.0,Real,Dato observado,Real
Alcobendas,Agresión sexual con penetración,2023,Q3,3,3.0,Real,Dato observado,Real
Alcobendas,Agresión sexual con penetración,2023,Q4,4,5.0,Real,Dato observado,Real
Alcobendas,Agresión sexual con penetración,2024,Q1,1,5.0,Real,Dato observado,Real
Alcobendas,Agresión sexual con penetración,2024,Q2,2,3.0,Real,Dato observado,Real
Alcobendas,Agresión sexual con penetración,2024,Q3,3,3.0,Real,Dato observado,Real
Alcobendas,Agresión sexual con penetración,2024,Q4,4,0.0,Real,Dato observado,Real
Alcobendas,Agresión sexual con penetración,2025,Q1,1,0.0,Real,Dato observado,Real
Alcobendas,Agresión sexual con penetración,2025,Q2,2,8.0,Real,Dato observado,Real
Alcobendas,Agresión sexual con penetración,2025,Q3,3,1.0,Real,Dato observado,Real
Alcobendas,Agresión sexual con penetración,2025,Q4,4,3.0,Real,Dato observado,Real
Alcobendas,Delitos contra la libertad sexual,2023,Q1,1,9.0,Real,Dato observado,Real
Alcobendas,Delitos contra la libertad sexual,2023,Q2,2,13.0,Real,Dato observado,Real
Alcobendas,Delitos contra la libertad sexual,2023,Q3,3,13.0,Real,Dato observado,Real
Alcobendas,Delitos contra la libertad sexual,2023,Q4,4,17.0,Real,Dato observado,Real
Alcobendas,Delitos contra la libertad sexual,2024,Q1,1,13.0,Real,Dato observado,Real
Alcobendas,Delitos contra la libertad sexual,2024,Q2,2,16.0,Real,Dato observado,Real
Alcobendas,Delitos contra la libertad sexual,2024,Q3,3,15.0,Real,Dato observado,Real
Alcobendas,Delitos contra la libertad sexual,2024,Q4,4,6.0,Real,Dato observado,Real
Alcobendas,Delitos contra la libertad sexual,2025,Q1,1,10.0,Real,Dato observado,Real
Alcobendas,Delitos contra la libertad sexual,2025,Q2,2,15.0,Real,Dato observado,Real
Alcobendas,Delitos contra la libertad sexual,2025,Q3,3,12.0,Real,Dato observado,Real
